2022-05-20 15:05:683 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:28 INFO  HomePage :74 - Enter min Salary 35000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:242 INFO  HomePage :78 - Enter max Salary 70000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:353 INFO  HomePage :82 - Select Salary Type Per month from salary type dropdown [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:468 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:633 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:859 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (9159b20f02b0dccce4111d8893c8f17d)] -> tag name: h1]<br>
2022-05-20 15:05:598 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:57 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:316 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:835 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:129 INFO  HomePage :66 - Select distance up to 35 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:365 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:544 INFO  HomePage :74 - Enter min Salary 20000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:735 INFO  HomePage :78 - Enter max Salary 50000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:913 INFO  HomePage :82 - Select Salary Type Per month from salary type dropdown [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:41 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:174 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:54 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (87fa8d4b9772be1d448ca4c7ecb83121)] -> tag name: h1]<br>
2022-05-20 15:05:188 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:337 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:808 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:931 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:188 INFO  HomePage :66 - Select distance up to 15 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:270 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:478 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:470 INFO  HomePage :78 - Enter max Salary 50000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:559 INFO  HomePage :82 - Select Salary Type Per annum from salary type dropdown [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:637 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:746 INFO  HomePage :54 - Click on find job button : 
